Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Chu	Judy		P	CA27	2022	1/29/2022	20020330
Hon.	Chu	Judy		X	CA28	2022	5/13/2023	30018797
	Chuba	Jon		A	FL05	2022	6/7/2022	10049690
	Chuba	Jon		C	FL05	2022	5/5/2022	10046251
Mrs.	Ciarcia	Gina Renee		C	VA07	2022	5/16/2022	10048645
	Ciarrocchi	Guy		C	PA06	2022	4/15/2022	10044729
Hon.	Cicilline	David N.		O	RI01	2022	5/15/2023	10054198
	Ciscomani	Juan		C	AZ06	2022	5/16/2022	10047922
Hon.	Ciscomani	Juan		H	AZ06	2022	7/14/2023	10053723
Hon.	Ciscomani	Juan		X	AZ06	2022	5/15/2023	30018998
Hon.	Ciscomani	Juan		X	AZ06	2022	6/21/2023	30019234
	Cisneros	Jessica		C	TX28	2022	5/12/2022	10048428
Hon.	Clark	Katherine M.		O	MA05	2022	6/8/2023	10052322
Hon.	Clark	Katherine M.		P	MA05	2022	4/12/2022	20020731
Hon.	Clark	Katherine M.		P	MA05	2022	5/2/2022	20020917
Hon.	Clark	Katherine M.		P	MA05	2022	8/16/2022	20021441
Hon.	Clark	Katherine M.		P	MA05	2022	10/5/2022	20021793
Hon.	Clark	Katherine M.		X	MA05	2022	5/15/2023	30018964
Hon.	Clarke	Yvette D.		O	NY09	2022	8/13/2023	10055310
Hon.	Clarke	Yvette D.		X	NY09	2022	5/24/2023	8219685
Hon.	Clarke	Yvette D.		X	NY09	2022	7/18/2023	30019352
	Clarmont	Shaun Michael		C	WI08	2022	7/26/2022	10050054
	Claus	Santa		D	AK00	2022	4/28/2022	40003339
Hon.	Cleaver	Emanuel		O	MO05	2022	5/15/2023	10053294
	Clifford	Sianay Chase		C	VT00	2022	5/19/2022	10049405
Hon.	Cline	Benjamin Lee		O	VA06	2022	8/11/2023	10054359
Hon.	Cline	Benjamin Lee		X	VA06	2022	5/14/2023	30018830
	Cloud	Michael		X	TX27	2022	5/12/2023	30018758
Hon.	Cloud	Michael		O	TX27	2022	7/14/2023	10053787
Hon.	Clyburn	James E.		O	SC06	2022	5/12/2023	10052407
Hon.	Clyde	Andrew		O	GA09	2022	8/14/2023	10053921
Hon.	Clyde	Andrew		X	GA09	2022	5/11/2023	30018557
	Clynch	Sean R.		C	WA05	2022	6/28/2022	10049811
	Coatney	David Adam		C	NC11	2022	5/1/2022	10047128
	Coatney	David Adam		C	NC11	2022	5/1/2022	10047128
	Coghill	John B.	Jr.	C	AK00	2022	5/7/2022	10047664
Hon.	Cohen	Steve		O	TN09	2022	8/10/2023	10053950
Hon.	Cohen	Steve		P	TN09	2022	2/15/2022	20020462
